id,username,email,organization,purpose,password,role,isActive,createdBy,createdAt,updatedAt
31,08a546f7-6fc4-4091-acd5-94f569032370,08a546f7-6fc4-4091-acd5-94f569032370@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Sun Mar 10 2024 23:54:46 GMT+0530 (India Standard Time),Sun Mar 10 2024 23:54:46 GMT+0530 (India Standard Time)
32,test,test@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Sun Mar 10 2024 23:56:51 GMT+0530 (India Standard Time),Sun Mar 10 2024 23:56:51 GMT+0530 (India Standard Time)
33,bf88b605-3a95-43f7-8b9c-19ceab746a94,bf88b605-3a95-43f7-8b9c-19ceab746a94@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:00:50 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:00:50 GMT+0530 (India Standard Time)
34,10f63d6f-0062-4800-a53f-eddb85125ce9,10f63d6f-0062-4800-a53f-eddb85125ce9@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:08:38 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:08:38 GMT+0530 (India Standard Time)
35,f4b1131e-4697-474c-8cd5-59f0d0122f52,f4b1131e-4697-474c-8cd5-59f0d0122f52@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:15:25 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:15:25 GMT+0530 (India Standard Time)
36,4b892eef-3960-40d4-b3b5-4b1526263f61,4b892eef-3960-40d4-b3b5-4b1526263f61@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:41:11 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:41:11 GMT+0530 (India Standard Time)
37,5ac589d5-ed3a-4bbe-8067-15491f0f5672,5ac589d5-ed3a-4bbe-8067-15491f0f5672@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:41:31 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:41:31 GMT+0530 (India Standard Time)
38,0ff3b2ce-84f9-4d8e-bf9c-b8b57cfa7dca,0ff3b2ce-84f9-4d8e-bf9c-b8b57cfa7dca@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:42:04 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:42:04 GMT+0530 (India Standard Time)
39,b34d6a6a-4088-4725-b1d4-7eff9333ff3b,b34d6a6a-4088-4725-b1d4-7eff9333ff3b@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:44:28 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:44:28 GMT+0530 (India Standard Time)
40,4f051207-8ec9-496b-8a6b-9bcc1950f691,4f051207-8ec9-496b-8a6b-9bcc1950f691@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:45:25 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:45:25 GMT+0530 (India Standard Time)
41,63377e8e-f987-4b46-ae71-a8b2637ea162,63377e8e-f987-4b46-ae71-a8b2637ea162@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:45:48 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:45:48 GMT+0530 (India Standard Time)
42,a934b544-3fba-4231-94ea-ed6992b67b05,a934b544-3fba-4231-94ea-ed6992b67b05@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:46:16 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:46:16 GMT+0530 (India Standard Time)
43,69e4030d-d287-4f50-8c13-736b092a47c3,69e4030d-d287-4f50-8c13-736b092a47c3@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:48:45 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:48:45 GMT+0530 (India Standard Time)
44,cf32ad92-c897-47f1-bda9-ce4d2cea5cd6,cf32ad92-c897-47f1-bda9-ce4d2cea5cd6@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:48:55 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:48:55 GMT+0530 (India Standard Time)
45,a691b29e-cc49-4ee0-8277-3352388d641f,a691b29e-cc49-4ee0-8277-3352388d641f@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:49:49 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:49:49 GMT+0530 (India Standard Time)
46,027683c8-c225-493b-a475-41b89c4791fc,027683c8-c225-493b-a475-41b89c4791fc@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:50:06 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:50:06 GMT+0530 (India Standard Time)
47,3b11dc38-125d-4071-ba99-369683094b2b,3b11dc38-125d-4071-ba99-369683094b2b@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:50:16 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:50:16 GMT+0530 (India Standard Time)
48,c2762a98-e8dc-4ca5-b0b2-d17f93355305,c2762a98-e8dc-4ca5-b0b2-d17f93355305@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:50:45 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:50:45 GMT+0530 (India Standard Time)
49,a06bb840-2204-4c6b-9a61-9cbf26091d65,a06bb840-2204-4c6b-9a61-9cbf26091d65@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:51:16 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:51:16 GMT+0530 (India Standard Time)
50,8dc712a1-da85-45d7-beb6-ec826199603b,8dc712a1-da85-45d7-beb6-ec826199603b@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:51:43 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:51:43 GMT+0530 (India Standard Time)
51,caed478c-1df9-4327-a497-d13fd7802c43,caed478c-1df9-4327-a497-d13fd7802c43@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:52:19 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:52:19 GMT+0530 (India Standard Time)
52,ae3984ac-2ecc-4372-8e97-e5746ef5c5a5,ae3984ac-2ecc-4372-8e97-e5746ef5c5a5@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 00:53:30 GMT+0530 (India Standard Time),Mon Mar 11 2024 00:53:30 GMT+0530 (India Standard Time)
53,481d625e-59c9-47b3-b2b9-1e5d6f805a2c,481d625e-59c9-47b3-b2b9-1e5d6f805a2c@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 02:04:22 GMT+0530 (India Standard Time),Mon Mar 11 2024 02:04:22 GMT+0530 (India Standard Time)
54,5920c048-8e07-45f7-b4c3-4256eaf6942b,5920c048-8e07-45f7-b4c3-4256eaf6942b@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 02:05:39 GMT+0530 (India Standard Time),Mon Mar 11 2024 02:05:39 GMT+0530 (India Standard Time)
55,625a80ca-f9fe-4ad0-858a-4d46a01ab76c,625a80ca-f9fe-4ad0-858a-4d46a01ab76c@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 02:30:19 GMT+0530 (India Standard Time),Mon Mar 11 2024 02:30:19 GMT+0530 (India Standard Time)
56,41c8068a-3572-4d46-9db0-b0a0234e0856,41c8068a-3572-4d46-9db0-b0a0234e0856@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 02:34:20 GMT+0530 (India Standard Time),Mon Mar 11 2024 02:34:20 GMT+0530 (India Standard Time)
57,eea62026-627f-42c5-9591-a4bf07ecff83,eea62026-627f-42c5-9591-a4bf07ecff83@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 02:41:14 GMT+0530 (India Standard Time),Mon Mar 11 2024 02:41:14 GMT+0530 (India Standard Time)
58,35fa5c01-3c6d-4f0a-8fdb-d9a5d8ce8b63,35fa5c01-3c6d-4f0a-8fdb-d9a5d8ce8b63@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 02:47:59 GMT+0530 (India Standard Time),Mon Mar 11 2024 02:47:59 GMT+0530 (India Standard Time)
59,5853812e-e212-472b-85d5-190988219398,5853812e-e212-472b-85d5-190988219398@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 03:04:25 GMT+0530 (India Standard Time),Mon Mar 11 2024 03:04:25 GMT+0530 (India Standard Time)
60,90d83596-437a-4b8e-bc4a-39a29a2a14c9,90d83596-437a-4b8e-bc4a-39a29a2a14c9@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 11 2024 22:20:35 GMT+0530 (India Standard Time),Mon Mar 11 2024 22:20:35 GMT+0530 (India Standard Time)
61,4fa38078-8c5b-4c6c-8b01-54747c712ca1,4fa38078-8c5b-4c6c-8b01-54747c712ca1@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Tue Mar 12 2024 00:51:45 GMT+0530 (India Standard Time),Tue Mar 12 2024 00:51:45 GMT+0530 (India Standard Time)
62,456560d5-80ff-425c-85a8-71efce49ff93,456560d5-80ff-425c-85a8-71efce49ff93@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Mon Mar 18 2024 12:31:24 GMT+0530 (India Standard Time),Mon Mar 18 2024 12:31:24 GMT+0530 (India Standard Time)
63,test~,test@testaaaa.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Thu Mar 28 2024 11:59:24 GMT+0530 (India Standard Time),Thu Mar 28 2024 11:59:24 GMT+0530 (India Standard Time)
64,test,nisha@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Thu Mar 28 2024 14:25:49 GMT+0530 (India Standard Time),Thu Mar 28 2024 14:25:49 GMT+0530 (India Standard Time)
65,test,riya@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,dGVzdHRAMTIzNDU=,users,1,,Thu Mar 28 2024 14:41:20 GMT+0530 (India Standard Time),Thu Mar 28 2024 14:41:20 GMT+0530 (India Standard Time)
66,test,riya1@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Thu Mar 28 2024 15:21:58 GMT+0530 (India Standard Time),Thu Mar 28 2024 15:21:58 GMT+0530 (India Standard Time)
67,test,testas@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Tue Apr 02 2024 02:16:43 GMT+0530 (India Standard Time),Tue Apr 02 2024 02:16:43 GMT+0530 (India Standard Time)
68,246c8d9f-fc24-4ad5-9e73-a59626317091,246c8d9f-fc24-4ad5-9e73-a59626317091@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Tue Apr 02 2024 02:18:37 GMT+0530 (India Standard Time),Tue Apr 02 2024 02:18:37 GMT+0530 (India Standard Time)
69,ff44568c-d6c1-458e-b6d0-4abf6ff68f20,ff44568c-d6c1-458e-b6d0-4abf6ff68f20@tgmail.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MTIzNA==,users,1,,Tue Apr 02 2024 02:56:28 GMT+0530 (India Standard Time),Tue Apr 02 2024 02:56:28 GMT+0530 (India Standard Time)
70,hjoshi,hjoshi@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Sun Apr 07 2024 23:34:37 GMT+0530 (India Standard Time),Sun Apr 07 2024 23:34:37 GMT+0530 (India Standard Time)
71,hjoshi,hjoshi21@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Sun Apr 07 2024 23:36:17 GMT+0530 (India Standard Time),Sun Apr 07 2024 23:36:17 GMT+0530 (India Standard Time)
72,hjoshi,hjoshi23@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Sun Apr 07 2024 23:36:51 GMT+0530 (India Standard Time),Sun Apr 07 2024 23:36:51 GMT+0530 (India Standard Time)
73,test,test90@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Sun Apr 07 2024 23:45:02 GMT+0530 (India Standard Time),Sun Apr 07 2024 23:45:02 GMT+0530 (India Standard Time)
74,test,hjo@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0MzQ0MzU=,users,1,,Mon Apr 08 2024 02:26:10 GMT+0530 (India Standard Time),Mon Apr 08 2024 02:26:10 GMT+0530 (India Standard Time)
75,test,hjos@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdDIzNEAxMjM0MzQ0MzU=,users,1,,Mon Apr 08 2024 06:41:40 GMT+0530 (India Standard Time),Mon Apr 08 2024 06:41:40 GMT+0530 (India Standard Time)
76,test,ashish@asi.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM1,users,1,,Mon Apr 08 2024 22:15:11 GMT+0530 (India Standard Time),Mon Apr 08 2024 22:15:11 GMT+0530 (India Standard Time)
77,vishnumishra,vishnu@vishnu.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NQ==,users,1,,Tue Apr 09 2024 00:10:36 GMT+0530 (India Standard Time),Tue Apr 09 2024 00:10:36 GMT+0530 (India Standard Time)
78,test,test1@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MQ==,users,1,,Tue Apr 09 2024 04:23:51 GMT+0530 (India Standard Time),Tue Apr 09 2024 04:23:51 GMT+0530 (India Standard Time)
79,test4,himjo@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,VGVzdEAxMjM0NTU2NzY3OA==,users,1,,Tue Apr 09 2024 05:32:35 GMT+0530 (India Standard Time),Tue Apr 09 2024 05:32:35 GMT+0530 (India Standard Time)
80,Ashish,Ashish@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,QXNoaXNoQDEyMzQ1,users,1,,Tue Apr 09 2024 21:37:17 GMT+0530 (India Standard Time),Tue Apr 09 2024 21:37:17 GMT+0530 (India Standard Time)
81,test,test11@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,MQ==,users,1,,Tue Apr 09 2024 21:46:30 GMT+0530 (India Standard Time),Tue Apr 09 2024 21:46:30 GMT+0530 (India Standard Time)
82,Ashish Sinha,Ashish12@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,QXNoaXNoMTI=,users,1,,Tue Apr 09 2024 21:53:53 GMT+0530 (India Standard Time),Tue Apr 09 2024 21:53:53 GMT+0530 (India Standard Time)
83,Deepak Tyagi,deepakTyapi@intek.com,Ministry of Statistics and Programme Implementation,View/Download the Data,QWtzaHVAMTEyMjMz,users,1,,Tue Apr 09 2024 21:54:32 GMT+0530 (India Standard Time),Tue Apr 09 2024 21:54:32 GMT+0530 (India Standard Time)
84,test,123456@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,c3RyaW5n,users,1,,Tue Apr 09 2024 22:30:26 GMT+0530 (India Standard Time),Tue Apr 09 2024 22:30:26 GMT+0530 (India Standard Time)
85,test,1234567@test.com,Ministry of Statistics and Programme Implementation,View/Download the Data,c3RyaW5n,users,1,,Tue Apr 09 2024 22:31:23 GMT+0530 (India Standard Time),Tue Apr 09 2024 22:31:23 GMT+0530 (India Standard Time)
86,test,mospiuser72306@mospi.gov.in,Ministry of Statistics and Programme Implementation,View/Download the Data,bW9zcGl1c2VyNzIzMDY=,users,1,,Tue Apr 09 2024 23:02:48 GMT+0530 (India Standard Time),Tue Apr 09 2024 23:02:48 GMT+0530 (India Standard Time)
87,test,mospiuser02310@mospi.gov.in,Ministry of Statistics and Programme Implementation,View/Download the Data,bW9zcGl1c2VyMDIzMTA=,users,1,,Tue Apr 09 2024 23:03:41 GMT+0530 (India Standard Time),Tue Apr 09 2024 23:03:41 GMT+0530 (India Standard Time)
88,test,mospiuser85366@mospi.gov.in,Ministry of Statistics and Programme Implementation,View/Download the Data,bW9zcGl1c2VyODUzNjY=,users,1,,Tue Apr 09 2024 23:35:46 GMT+0530 (India Standard Time),Tue Apr 09 2024 23:35:46 GMT+0530 (India Standard Time)
89,test,mospiuser08457@mospi.gov.in,Ministry of Statistics and Programme Implementation,View/Download the Data,bW9zcGl1c2VyMDg0NTc=,users,1,,Tue Apr 09 2024 23:37:16 GMT+0530 (India Standard Time),Tue Apr 09 2024 23:37:16 GMT+0530 (India Standard Time)
90,test,mospiuser32280@mospi.gov.in,Ministry of Statistics and Programme Implementation,View/Download the Data,bW9zcGl1c2VyMzIyODA=,users,1,,Tue Apr 09 2024 23:38:01 GMT+0530 (India Standard Time),Tue Apr 09 2024 23:38:01 GMT+0530 (India Standard Time)
91,test,mospiuser77102@mospi.gov.in,Ministry of Statistics and Programme Implementation,View/Download the Data,bW9zcGl1c2VyNzcxMDJfcGFzcw==,users,1,,Tue Apr 09 2024 23:38:34 GMT+0530 (India Standard Time),Tue Apr 09 2024 23:38:34 GMT+0530 (India Standard Time)
92,test,mospiuser43272@mospi.gov.in,Ministry of Statistics and Programme Implementation,View/Download the Data,bW9zcGl1c2VyNDMyNzJfcGFzcw==,users,1,,Tue Apr 09 2024 23:38:57 GMT+0530 (India Standard Time),Tue Apr 09 2024 23:38:57 GMT+0530 (India Standard Time)
93,test,mospiuser33850@mospi.gov.in,Ministry of Statistics and Programme Implementation,View/Download the Data,bW9zcGl1c2VyMzM4NTBfcGFzcw==,users,1,,Tue Apr 09 2024 23:49:30 GMT+0530 (India Standard Time),Tue Apr 09 2024 23:49:30 GMT+0530 (India Standard Time)
94,test,mospiuser85552@mospi.gov.in,Ministry of Statistics and Programme Implementation,View/Download the Data,bW9zcGl1c2VyODU1NTJfcGFzcw==,users,1,,Wed Apr 10 2024 00:11:06 GMT+0530 (India Standard Time),Wed Apr 10 2024 00:11:06 GMT+0530 (India Standard Time)
